Drug Name,Indication
Clotrimazole,"**Topical preparations**

Clotrimazole topical cream is indicated for the topical treatment of the following dermal infections [F3088], [F3121]:

Tinea pedis, tinea cruris, and tinea corporis due to _Trichophyton rubrum_, _Trichophyton mentagrophytes_, _Epidermophyton floccosum_

Candidiasis due to _Candida albicans_

Tinea versicolor due to _Malassezia furfur_

Diaper rash infected by _Candida albicans_


In some preparations, clotrimazole may be combined with betamethasone dipropionate, a corticosteroid [F3121]. 

**Oral preparations**

The oral troche preparation is indicated for the local treatment of oropharyngeal candidiasis [FDA label].  It is also indicated as a prophylactic drug to reduce the incidence of oropharyngeal candidiasis in patients immunocompromised by conditions such as chemotherapy, radiotherapy, or steroid therapy utilized in the treatment of leukemia, solid tumors, or renal transplantation [FDA label]. Troche preparations are not indicated for the treatment of any systemic mycoses [FDA label]."
Carmustine,"For the treatment of brain tumors, multiple myeloma, Hodgkin's disease and Non-Hodgkin's lymphomas."
Chlorotrianisene,"Used to treat symptoms of menopause, deficiencies in ovary function (including underdevelopment of female sexual characteristics and some types of infertility), and in rare cases, prostate cancer. Chlorotrianisene may also be used to prevent breast engorgement following childbirth."
Liothyronine,"Liothyronine is officially approved for the following indications:

- Replacement therapy in primary (thyroidal), secondary (pituitary) and tertiary (hypothalamic) congenital or acquired hypothyroidism.

- As an adjunct therapy to surgery and radioiodine in the management of thyroid cancer.

- As a diagnostic agent in suppression tests for mild hyperthyroidism or thyroid gland autonomy.[FDA label]

In general terms, exogenous liothyronine is used to replace insufficient hormonal production and restore T3 plasma levels.[T457]

The lack of liothyronine can be presented as a pale and puffy face, coarse,  brittle hair, dry skin, croaky voice and constipation as well as irregular periods, drowsiness, and lethargy.[T457]

Liothyronine should never be used in the suppression of benign nodules and nontoxic diffuse goiter in iodine-sufficient patients nor in the treatment of hyperthyroidism during the recovery phase of subacute thyroiditis.[FDA label]"
Pamidronic acid,"Pamidronate is indicated to treat moderate to severe hypercalcemia of malignancy, moderate to severe Paget's disease of bone, osteolytic bone metastases of breast cancer, and osteolytic lesions of multiple myeloma.[L13838]"
Conjugated estrogens,"The conjugated estrogens are indicated for several different conditions including:

- Treatment of moderate to severe vasomotor symptoms due to menopause.
- Treatment of moderate to severe symptoms of vulvar and vaginal atrophy due to menopause.
- Treatment of hypoestrogenism due to hypogonadism, castration or primary ovarian failure.
- Palliative treatment of breast cancer in appropriately selected patients with metastatic disease.
- Palliative treatment of androgen-dependent carcinoma of the prostate.
- Preventive therapy of postmenopausal osteoporosis.[A38238]"
Bleomycin,"For palliative treatment in the management malignant neoplasm (trachea, bronchus, lung), squamous cell carcinoma, and lymphomas."
Mitomycin,"For treatment of malignant neoplasm of lip, oral cavity, pharynx, digestive organs, peritoneum, female breast, and urinary bladder. Also used as an adjunct to ab externo glaucoma surgery. Mitomycin is also indicated as a pyelocalyceal solution for the treatment of adults with low-grade upper tract urothelial cancer (LG-UTUC).[L12867]"
Gefitinib,For the continued treatment of patients with locally advanced or metastatic non-small cell lung cancer after failure of either platinum-based or docetaxel chemotherapies.
Floxuridine,"For palliative management of gastrointestinal adenocarcinoma metastatic to the liver, when given by continuous regional intra-arterial infusion in carefully selected patients who are considered incurable by surgery or other means. Also for the palliative management of liver cancer (usually administered by hepatic intra-arterial infusion)."
Megestrol acetate,"For the treatment of anorexia, cachexia, or an unexplained, significant weight loss in patients with a diagnosis of acquired immunodeficiency syndrome (AIDS). Also used for the palliative management of recurrent, inoperable, or metastatic breast cancer, endometrial cancer, and prostate cancer in Canada and some other countries."
Aminoglutethimide,"For the suppression of adrenal function in selected patients with Cushing's syndrome, malignant neoplasm of the female breast, and carcinoma in situ of the breast."
Vinorelbine,"Vinorelbine tartrate is indicated for adults in the treatment of advanced non-small cell lung cancer (NSCLC), as a single therapy or in combination with other chemotherapeutic drugs [L1998].

Used in relapsed or refractory Hodgkin lymphoma, in combination with other chemotherapy agents [L2011].
 
For the treatment of desmoid tumor or aggressive fibromatosis, in combination with methotrexate [L2011].

For the treatment of recurrent or metastatic squamous cell head and neck cancer [L2011].

For the treatment of recurrent ovarian cancer [L2011].

For the treatment of metastatic breast cancer, in patients previously treated with anthracyline and/or taxane therapy [L2011].

For the treatment of HER2-positive, trastuzumab-resistant, advanced breast cancer in patients previously treated with a taxane, in combination with trastuzumab and everolimus [L2011]."
Palonosetron,"For the prevention of acute and delayed nausea and vomiting associated with initial and repeat courses of moderately emetogenic cancer chemotherapy, as well as prevention of acute nausea and vomiting associated with highly emetogenic cancer chemotherapy. Also used for the prevention of postoperative nausea and vomiting for up to 24 hours post operation."
Dexrazoxane,For reducing the incidence and severity of cardiomyopathy associated with doxorubicin administration in women with metastatic breast cancer who have received a cumulative doxorubicin hydrochloride dose of 300 mg/m^2 and would benefit from continued doxorubicin therapy. Also approved for the treatment of extravasation from intravenous anthracyclines.
Valrubicin,For the treatment of cancer of the bladder.
Progesterone,"**Gelatinized capsules**

The gelatinized capsules are indicated for use in the prevention of endometrial hyperplasia in non-hysterectomized postmenopausal women who are receiving conjugated estrogens tablets. They are also indicated for use in secondary amenorrhea [FDA label]. 

**Vaginal gel**

Progesterone gel (8%) is indicated as progesterone supplementation or replacement as part of an Assisted Reproductive Technology (“ART”) treatment for infertile women with progesterone deficiency.  The lower concentration progesterone gel (4%) is used in the treatment of secondary amenorrhea, with the use of the 8% concentration if there is no therapeutic response to the 4% gel [F3898].

**Vaginal insert**

This form is indicated to support embryo implantation and early pregnancy by supplementation of corpus luteal function as part of an Assisted Reproductive Technology (ART) treatment program for infertile women [F3901].

**Injection (intramuscular)**

This drug is indicated in amenorrhea and abnormal uterine bleeding due to hormonal imbalance in the absence of organic pathology, such as submucous fibroids or uterine cancer [F3907]. 

**Tablets, contraceptive**

The tablet form of progesterone in contraceptive formulations is indicated for the prevention of pregnancy [F3904]."
Sorafenib,"Sorafenib is indicated for the treatment of unresectable hepatocellular carcinoma and advanced renal cell carcinoma.[L9341,L44577]

In the US, it is also indicated for the treatment of patients with locally recurrent or metastatic, progressive, differentiated thyroid carcinoma that is refractory to radioactive iodine treatment.[L9341]"
Zoledronic acid,"Zoledronic acid is indicated to treat hypercalcemia of malignancy, multiple myeloma, bone metastases from solid tumors, osteoporosis in men and postmenopausal women, glucocorticoid induced osteoporosis, and Paget's disease of bone in men and women.[L13712,L13715,L13721] Zoledronic acid is also indicated for the prevention of osteoporosis in post menopausal women and glucocorticoid induced osteoporosis.[L13712,L13715,L13721]"
Streptozocin,For the treatment of malignant neoplasms of pancreas (metastatic islet cell carcinoma).
Trifluridine,"As a standalone product, trifluridine is used for the ophthalmic treatment of primay keratoconjunctivitis and recurrent epithelial keratitis due to herpes simplex virus, types 1 and 2.[L47671] 

Trifluridine is also available as a combination product with [tipiracil], which is indicated either alone or in combination with [bevacizumab] for the treatment of adult patients with metastatic colorectal cancer who have been previously treated with fluoropyrimidine-, oxaliplatin- and irinotecan-based chemotherapy, an anti-VEGF biological therapy, and if RAS wild-type, an anti-EGFR therapy.[L47676] This combination product is also used for adult patients with metastatic gastric or gastroesophageal junction adenocarcinoma and were previously treated with at least two prior lines of chemotherapy that included a fluoropyrimidine, a platinum, either a taxane or irinotecan, and if appropriate, HER2/neu-targeted therapy.[L47676]"
Allopurinol,"Allopurinol is indicated in [FDA label]:

1) the management of patients with signs and symptoms of primary or secondary gout (acute attacks, tophi, joint destruction, uric acid lithiasis, and/or nephropathy).

2) the management of patients with leukemia, lymphoma and malignancies who are receiving cancer therapy which causes elevations of serum and urinary uric acid levels. Treatment with allopurinol should be discontinued when the potential for overproduction of uric acid is no longer present.

3) the management of patients with recurrent calcium oxalate calculi whose daily uric acid excretion exceeds 800 mg/day in male patients and 750 mg/day in female patients. Therapy in such patients should be carefully assessed initially and reassessed periodically to determine in each case that treatment is beneficial and that the benefits outweigh the risks."
Gemcitabine,"Gemcitabine is a chemotherapeutic agent used as monotherapy or in combination with other anticancer agents. 

In combination with [carboplatin], it is indicated for the treatment of advanced ovarian cancer that has relapsed at least 6 months after completion of platinum-based therapy.[L32950]

Gemcitabine in combination with [paclitaxel] is indicated for the first-line treatment of patients with metastatic breast cancer after failure of prior anthracycline-containing adjuvant chemotherapy, unless anthracyclines were clinically contraindicated.[L32950]

In combination with [cisplatin], gemcitabine is indicated for the first-line treatment of patients with inoperable, locally advanced (Stage IIIA or IIIB) or metastatic (Stage IV) non-small cell lung cancer (NSCLC).[L32950] Dual therapy with cisplatin is also used to treat patients with Stage IV (locally advanced or metastatic) transitional cell carcinoma (TCC) of the bladder.[L32955]

Gemcitabine is indicated as first-line treatment for patients with locally advanced (nonresectable Stage II or Stage III) or metastatic (Stage IV) adenocarcinoma of the pancreas. Gemcitabine is indicated for patients previously treated with [fluorouracil].[L32950]"
Epirubicin,For use as a component of adjuvant therapy in patients with evidence of axillary node tumor involvement following resection of primary breast cancer.
Levothyroxine,"Levothyroxine is indicated as replacement therapy in primary (thyroidal), secondary (pituitary) and tertiary (hypothalamic) congenital or acquired hypothyroidism. It is also indicated as an adjunct to surgery and radioiodine therapy in the management of thyrotropin-dependent well-differentiated thyroid cancer."
Verteporfin,"For the treatment of patients with predominantly classic subfoveal choroidal neovascularization due to age-related macular degeneration, pathologic myopia or presumed ocular histoplasmosis syndrome. Verteporfin can also be used to destroy tumors."
Dronabinol,"Dronabinol is indicated for the treatment of anorexia associated with weight loss in patients with AIDS, and nausea and vomiting associated with cancer chemotherapy in patients who have failed to respond adequately to conventional antiemetic treatments.[L43438]"
Duloxetine,"**Indicated** for:

1) Management of Major Depressive Disorder.[label]

2) Management of Generalized Anxiety Disorder.[label]

3) Management of diabetic peripheral neuropathy.[label]

4) Management of fibromyalgia.[label]

5) Management of chronic musculoskeletal pain.[label]

6) Management of osteoarthritis of the knee in adults.[L6364]

7) Management of chronic lower back pain in adults.[L6364]

8) Management of stress urinary incontinence in adult women.[L6367]

**Off-label** uses include:

1) Management of chemotherapy-induced peripheral neuropathy.[A178603]

2) Management of stress urinary incontinence in adult men after prostatectomy until recovery is complete.[L6370]"
Raloxifene,"Indicated for the prevention and treatment of osteoporosis in postmenopausal women, as well as prevention and treatment of corticosteroid-induced bone loss.[label]

Indicated for the reduction in the risk of invasive breast cancer in postmenopausal women with osteoporosis or postmenopausal women with a high risk for invasive breast cancer.[label]"
Nabilone,Nabilone is indicated for the treatment of the nausea and vomiting associated with cancer chemotherapy in patients who have failed to respond adequately to conventional antiemetic treatments. This restriction is required because a substantial proportion of any group of patients treated with Nabilone can be expected to experience disturbing psychotomimetic reactions not observed with other antiemetic agents.
Altretamine,For use as a single agent in the palliative treatment of patients with persistent or recurrent ovarian cancer following first-line therapy with a cisplatin and/or alkylating agent-based combination.
Flutamide,For the management of locally confined Stage B2-C and Stage D2 metastatic carcinoma of the prostate
Cisplatin,"For the treatment of metastatic testicular tumors, metastatic ovarian tumors and advanced bladder cancer."
Oxaliplatin,"Oxaliplatin, in combination with infusional fluorouracil and leucovorin, is indicated for the treatment of advanced colorectal cancer and adjuvant treatment of stage III colon cancer in patients who have undergone complete resection of the primary tumor.[L47206]"
Erlotinib,"Erlotinib is indicated for:

- The treatment of metastatic non-small cell lung cancer (NSCLC) with tumors showing epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 (L858R) substitution mutations [FDA label]. 

- In combination with first-line treatment for patients diagnosed with locally advanced, unresectable or metastatic pancreatic cancer [FDA label].

The safety and efficacy of erlotinib have not been established for patients with NSCLC whose tumors show other EGFR mutations. Additionally it is not recommended for use in combination with platinum-based chemotherapy. [FDA label]"
Cyclophosphamide,"Cyclophosphamide for intravenous injection is indicated for the treatment of a number of malignancies, including: Hodgkin’s disease, lymphocytic lymphoma, mixed-cell type lymphoma, histiocytic lymphoma, Burkitt’s lymphoma; multiple myeloma, leukemias, mycosis fungoides, neuroblastoma, adenocarcinoma of ovary, retinoblastoma, and breast carcinoma.[L50141]

Cyclophosphamide oral capsules are additionally indicated for the treatment of minimal change nephrotic syndrome in pediatric patients who fail to adequately respond to (or are unable to tolerate) adrenocorticosteroid therapy.[L50557]"
Gadoversetamide,"Gadoversetamide is an MRI contrast agent used for MRI diagnostic procedures to provide increased enhancement and visualization of lesions of the brain, spine and liver, including tumors."
Toremifene,For the treatment of metastatic breast cancer in postmenopausal women with estrogen receptor-positive or receptor-unknown tumors. Toremifene is currently under investigation as a preventative agent for prostate cancer in men with high-grade prostatic intraepithelial neoplasia and no evidence of prostate cancer.
Vincristine,"Treatment of acute lymphocytic leukemia (ALL), Hodgkin lymphoma, non-Hodgkin lymphomas, Wilms' tumor, neuroblastoma, rhabdomyosarcoma. Liposomal vincristine is indicated for the treatment of relapsed Philadelphia chromosome-negative (Ph-) acute lymphoblastic leukemia (ALL)."
Fluorouracil,"For the topical treatment of multiple actinic or solar keratoses. In the 5% strength it is also useful in the treatment of superficial basal cell carcinomas when conventional methods are impractical, such as with multiple lesions or difficult treatment sites. Fluorouracil injection is indicated in the palliative management of some types of cancer, including colon, esophageal, gastric, rectum, breast, biliary tract, stomach, head and neck, cervical, pancreas, renal cell, and carcinoid."
Methotrexate,"Methotrexate oral solution is indicated for pediatric acute lymphoblastic leukemia and pediatric polyarticular juvenile idiopathic arthritis.[L7144] Methotrexate injections for subcutaneous use are indicated for severe active rheumatoid arthritis, polyarticular juvenile idiopathic arthritis and severe, recalcitrant, disabling psoriasis.[L7147,L7150,L10457] It has also been approved by the EMA for the treatment of adult patients requiring systemic therapy for moderate-to-severe plaque psoriasis.[L48796]

Other formulations are indicated to treat gestational choriocarcinoma, chorioadenoma destruens, hydatiform mole, breast cancer, epidermoid cancer of the head and neck, advanced mycosis fungoides, lung cancer, and advanced non-Hodgkin's lymphoma.[L7180] It is also used in the maintenance of acute lymphocytic leukemia.[L7180] Methotrexate is also given before treatment with leucovorin to prolong relapse-free survival following surgical removal of a tumour in non-metastatic osteosarcoma.[L7180]"
Fondaparinux,"Approved for: (1) prophylaxis of VTE for up to one month post surgery in patients undergoing orthopedic surgery of the lower limbs such as hip fracture, hip replacement and knee surgery; (2) prophylaxis of VTE patients undergoing abdominal surgery who are at high risk of thromboembolic complications (e.g. patients undergoing abdominal cancer surgery); (3) treatment of acute DVT and PE; (4) management of UA and NSTEMI for the prevention of death and subsequent myocardial infarction (MI); and (5) management of STEMI for the prevention of death and myocardial reinfarction in patients who are managed with thrombolytics or who are initially to receive no form of reperfusion therapy. Fondaparinux should not be used as the sole anticoagulant during percutaneous coronary intervention (PCI) due to an increased risk of guiding catheter thrombosis."
Vinblastine,"For treatment of breast cancer, testicular cancer, lymphomas, neuroblastoma, Hodgkin's and non-Hodgkin's lymphomas, mycosis fungoides, histiocytosis, and Kaposi's sarcoma."
Clonidine,"Clonidine tablets and transdermal systems are indicated for the treatment of hypertension alone or in combination with other medications.[L7237,L7240] A clonidine injection is indicated for use with opiates in the treatment of severe cancer pain where opiates alone are insufficient.[L7243] An extended release tablet of clonidine is indicated for the treatment of ADHD either alone or in combination with other medications.[L7246]

Clonidine is also used for the diagnosis of pheochromocytoma,[A180565] treatment of nicotine dependance,[A180568] and opiate withdrawal.[A180571]"
Lactulose,"Lactulose is indicated for use as a laxative in the treatment of chronic constipation in adults and geriatric patients.[FDA Label,L6199,L6202]

Additionally, lactulose is also employed as an adjunct to protein restriction and supportive therapy for the prevention and treatment of portal-systemic encephalopathy (PSE), including both the hepatic pre-coma and coma variations.[FDA Label,L6199,L6202] In particular, lactulose solution has been effective at managing PSE resulting from surgical portacaval shunts or from chronic hepatic diseases like cirrhosis.[L6199]

Moreover, there have also been studies demonstrating the capacity for lactulose to minimize the formation of gallstones and even some investigations regarding the experimental use of the agent in developing novel anticancer agents owing to its ability to bind galactin carbohydrates involved in various tumor progressions [L6202]."
